일자,종가,전일대비,등락률,거래량,개인,외국인,기관계,기관,,,,,,,기타법인,기타외국인
,,,,,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,,
2025-12-17,551000,21000,3.96,2692626,-113281,43181,41873,41656,1798,17038,,160,-15839,-2940,31066,-2839
2025-12-16,530000,24000,-4.33,3287998,841714,-714424,-151894,10225,-13888,-25696,-4964,201,-37584,-80188,17688,6916
2025-12-15,554000,17000,-2.98,2482125,271286,118489,-395426,-318037,363,-36122,-683,113,10131,-51191,4707,944
2025-12-12,571000,6000,1.06,2646148,-247896,-24966,252823,510218,-5475,-105796,-150,711,-6656,-140029,20283,-244
2025-12-11,565000,22000,-3.75,4021907,449867,-282270,-185201,227747,-33592,-265892,2086,332,-52399,-63483,14156,3448
2025-12-10,587000,21000,3.71,6682961,-1352770,1350641,-10298,-5968,285,16465,869,-10,25387,-47326,17475,-5048
2025-12-09,571000,6000,-1.04,4328383,85272,-34041,-75009,-90805,1379,3088,-188,-3718,-19845,35080,17649,6129
2025-12-08,574000,30000,5.51,7449914,-941939,660653,246911,27318,31091,35728,-3928,2242,16732,137728,50399,-16024
2025-12-05,543000,1000,0.18,4961342,127250,-218799,137379,200089,7898,-10335,4047,3236,-51126,-16430,-47925,2095
2025-12-04,538000,14000,-2.54,4623856,1072283,-818333,-259404,-128437,1691,-26005,41,-25,-48469,-58200,1123,4331
2025-12-03,552000,6000,-1.08,4419336,545575,-609707,31637,,14638,-6725,428,145,-8359,31510,28519,3976
2025-12-02,563000,25000,4.65,4415553,-721753,505589,229700,92803,40425,42026,23,1077,15163,38183,-5532,-8004
2025-12-01,538000,8000,1.51,4888346,-809317,786681,17350,-58711,20340,34435,-371,-1405,-11086,34148,3975,1311
2025-11-28,537000,7000,-1.29,4448762,814811,-1091850,278305,277695,-1785,6725,-156,-21,-1727,-2426,-6198,4932
2025-11-27,546000,22000,4.2,6752188,-864347,515564,402746,205377,408,77890,332,-853,5156,114436,-36665,-17298
2025-11-26,527000,8000,1.54,8750955,-8518,-610850,574645,486576,6607,52637,-528,-1768,28106,3015,48066,-3343
2025-11-25,514000,6000,-1.15,7307011,-105902,-63513,188574,203288,1930,-38820,-177,183,-30517,52687,-21471,2312
2025-11-24,520000,1000,-0.19,9725266,-454252,-615432,1041623,1034759,-1279,-35106,14,33,29553,13649,30177,-2116
2025-11-21,516000,55000,-9.63,12169132,2645823,-3007996,294470,89163,10474,-42032,1243,-3764,47517,191869,43704,23999
2025-11-20,568000,6000,1.07,9072761,533338,-638082,137426,244243,-2141,-16034,2198,308,-28050,-63098,-36874,4192
2025-11-19,573000,3000,0.53,8117199,1054949,-1193301,69680,24951,-137,38658,-75,-4733,-15390,26406,65926,2746
2025-11-18,577000,29000,-4.79,6682376,1300242,-1062752,-321294,-196538,6557,1177,786,2186,1356,-136818,77886,5918
2025-11-17,597000,37000,6.61,7993516,-833870,670599,132746,163154,-9517,19715,-164,756,-15029,-26169,29607,918
2025-11-14,564000,48000,-7.84,10118303,3440761,-2755340,-686686,-514815,5232,-71369,-3658,-3357,-36027,-62692,-8712,9977
